Player,Standard_Nation,Standard_Pos,Standard_Squad,Standard_Age,Standard_MP,Standard_Starts,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP
Patrick Dorgu,dkDEN,DF,Manchester Utd,20-160,2004,4,4,312,3.5,0,0,0,0,0,0,1,1,0.3,0.3,0.3,0.6,17,12,38,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.17,0.09,0.17,Matches
Patson Daka,zmZAM,"FW,MF",Leicester City,26-177,1998,17,4,542,6.0,1,0,1,1,0,0,0,0,0.8,0.8,0.0,0.8,5,8,27,0.17,0.00,0.17,0.17,0.17,0.13,0.00,0.13,0.13,0.13,Matches
Pau Torres,esESP,DF,Aston Villa,28-078,1997,19,19,"1,639",18.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,31,72,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Paul Onuachu,ngNGA,FW,Southampton,30-311,1994,20,9,853,9.5,4,1,5,4,0,0,3,0,3.2,3.2,0.5,3.7,7,12,35,0.42,0.11,0.53,0.42,0.53,0.34,0.05,0.39,0.34,0.39,Matches
Pedro Neto,ptPOR,FW,Chelsea,25-026,2000,27,17,"1,621",18.0,3,4,7,3,0,0,8,0,2.1,2.1,4.5,6.6,93,42,162,0.17,0.22,0.39,0.17,0.39,0.12,0.25,0.37,0.12,0.37,Matches
Pedro Porro,esESP,DF,Tottenham,25-203,1999,29,24,"2,283",25.4,2,5,7,2,0,0,3,0,1.5,1.5,3.2,4.7,57,129,94,0.08,0.20,0.28,0.08,0.28,0.06,0.13,0.18,0.06,0.18,Matches
Pervis Estupiñán,ecECU,DF,Brighton,27-073,1998,23,19,"1,782",19.8,1,1,2,1,0,0,3,0,0.7,0.7,1.9,2.5,45,81,92,0.05,0.05,0.10,0.05,0.10,0.03,0.09,0.13,0.03,0.13,Matches
Phil Foden,engENG,"MF,FW",Manchester City,24-311,2000,24,18,"1,629",18.1,7,2,9,7,0,0,2,0,4.9,4.9,4.7,9.5,46,94,116,0.39,0.11,0.50,0.39,0.50,0.27,0.26,0.53,0.27,0.53,Matches
Philip Billing,dkDEN,MF,Bournemouth,28-297,1996,10,1,184,2.0,0,0,0,0,0,0,1,0,0.6,0.6,1.1,1.7,3,15,13,0.00,0.00,0.00,0.00,0.00,0.28,0.54,0.82,0.28,0.82,Matches
Radu Drăgușin,roROU,DF,Tottenham,23-060,2002,16,14,"1,252",13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
